,ORG,DST,SECTOR_ID,SDD,TOTAL_CORE,ORG_CTRY,DST_CTRY,ORG_REGION,DST_REGION,IN_SCOPE
1,235,195,151,2010-04-26,0.0,172,117,201,174,1
4,235,129,119,2010-10-07,0.0,172,124,201,149,1
6,235,129,119,2010-07-08,0.0,172,124,201,149,1
8,235,129,119,2010-08-14,0.0,172,124,201,149,1
9,235,129,119,2010-08-21,0.0,172,124,201,149,1
10,235,129,119,2010-08-28,0.0,172,124,201,149,1
11,235,129,119,2010-04-09,0.0,172,124,201,149,1
13,235,129,119,2010-11-09,0.0,172,124,201,149,1
14,235,129,119,2010-09-18,0.0,172,124,201,149,1
16,235,129,119,2010-09-25,0.0,172,124,201,149,1
17,235,129,119,2010-02-10,0.0,172,124,201,149,1
18,235,129,119,2010-09-10,0.0,172,124,201,149,1
19,216,162,184,2010-10-10,0.0,153,110,149,201,1
20,216,162,184,2010-10-18,0.0,153,110,149,201,1
34,216,162,184,2011-02-26,0.0,153,110,149,201,1
35,235,129,119,2011-02-26,0.0,172,124,201,149,1
36,216,162,184,2011-02-27,0.0,153,110,149,201,1
41,216,162,184,2014-03-01,0.0,153,110,149,201,1
42,216,162,184,2014-02-23,0.0,153,110,149,201,1
44,100,120,176,2014-03-13,0.0,106,191,201,174,1
46,100,120,176,2014-03-20,0.0,106,191,201,174,1
48,100,120,176,2014-03-27,0.0,106,191,201,174,1
50,100,120,176,2014-03-04,0.0,106,191,201,174,1
53,100,120,176,2014-10-04,0.0,106,191,201,174,1
55,100,120,176,2014-04-17,0.0,106,191,201,174,1
57,100,120,176,2014-04-24,0.0,106,191,201,174,1
63,100,120,176,2014-08-05,0.0,106,191,201,174,1
84,216,162,184,2015-06-01,0.0,153,110,149,201,1
85,100,120,176,2015-01-18,0.0,106,191,201,174,1
87,100,120,176,2015-01-25,0.0,106,191,201,174,1
89,100,120,176,2015-01-02,0.0,106,191,201,174,1
90,100,120,176,2015-08-02,0.0,106,191,201,174,1
93,100,120,176,2015-02-15,0.0,106,191,201,174,1
96,100,120,176,2015-08-03,0.0,106,191,201,174,1
99,100,120,176,2015-03-15,0.0,106,191,201,174,1
101,100,120,176,2015-03-22,0.0,106,191,201,174,1
103,100,120,176,2015-03-29,0.0,106,191,201,174,1
105,100,120,176,2015-05-04,0.0,106,191,201,174,1
106,100,120,176,2015-12-04,0.0,106,191,201,174,1
108,100,120,176,2015-04-19,0.0,106,191,201,174,1
111,100,120,176,2015-04-26,0.0,106,191,201,174,1
113,100,120,176,2015-10-05,0.0,106,191,201,174,1
114,100,120,176,2015-05-17,0.0,106,191,201,174,1
116,100,120,176,2015-05-24,0.0,106,191,201,174,1
118,100,120,176,2015-05-31,0.0,106,191,201,174,1
120,100,120,176,2015-07-06,0.0,106,191,201,174,1
122,100,120,176,2015-06-14,0.0,106,191,201,174,1
125,100,120,176,2015-06-21,0.0,106,191,201,174,1
128,100,120,176,2015-06-28,0.0,106,191,201,174,1
130,100,120,176,2015-05-07,0.0,106,191,201,174,1
132,100,120,176,2015-12-07,0.0,106,191,201,174,1
135,100,120,176,2015-07-19,0.0,106,191,201,174,1
137,100,120,176,2015-07-26,0.0,106,191,201,174,1
140,100,120,176,2015-02-08,0.0,106,191,201,174,1
143,100,120,176,2015-09-08,0.0,106,191,201,174,1
148,100,120,176,2015-08-30,0.0,106,191,201,174,1
150,100,120,176,2015-06-09,0.0,106,191,201,174,1
153,100,120,176,2015-09-27,0.0,106,191,201,174,1
155,100,120,176,2015-11-10,0.0,106,191,201,174,1
157,100,120,176,2015-10-18,0.0,106,191,201,174,1
158,100,120,176,2015-10-25,0.0,106,191,201,174,1
160,100,120,176,2015-08-11,0.0,106,191,201,174,1
161,100,120,176,2015-11-15,0.0,106,191,201,174,1
162,100,120,176,2015-11-22,0.0,106,191,201,174,1
165,100,120,176,2015-12-20,0.0,106,191,201,174,1
166,235,129,119,2016-07-01,0.0,172,124,201,149,1
169,235,195,151,2016-10-01,0.0,172,117,201,174,1
171,100,120,176,2016-01-17,0.0,106,191,201,174,1
172,100,120,176,2016-01-24,0.0,106,191,201,174,1
173,100,120,176,2016-01-31,0.0,106,191,201,174,1
174,100,120,176,2016-02-21,0.0,106,191,201,174,1
180,235,195,151,2016-05-06,0.0,172,117,201,174,1
188,100,120,176,2016-07-08,0.0,106,191,201,174,1
205,120,233,152,2015-02-21,0.0,191,206,174,201,1
207,162,208,228,2015-09-04,0.0,110,181,201,149,1
208,100,120,176,2015-09-04,0.0,106,191,201,174,1
209,162,208,228,2015-10-04,0.0,110,181,201,149,1
224,235,129,119,2016-06-08,0.0,172,124,201,149,1
226,162,219,170,2010-10-16,0.0,110,197,201,180,1
227,235,129,119,2010-10-16,0.0,172,124,201,149,1
231,204,120,202,2013-01-14,0.0,105,191,201,174,1
236,204,120,202,2013-01-28,0.0,105,191,201,174,1
251,204,120,202,2013-11-03,0.0,105,191,201,174,1
253,204,120,202,2013-03-18,0.0,105,191,201,174,1
267,204,120,202,2013-04-29,0.0,105,191,201,174,1
281,204,120,202,2013-03-06,0.0,105,191,201,174,1
285,204,120,202,2013-06-17,0.0,105,191,201,174,1
292,162,219,170,2013-08-07,0.0,110,197,201,180,1
305,204,120,202,2013-08-19,0.0,105,191,201,174,1
306,235,129,119,2013-08-20,0.0,172,124,201,149,1
310,204,120,202,2013-08-26,0.0,105,191,201,174,1
312,235,129,119,2013-08-29,0.0,172,124,201,149,1
314,204,120,202,2013-02-09,0.0,105,191,201,174,1
317,235,129,119,2013-05-09,0.0,172,124,201,149,1
321,235,129,119,2013-12-09,0.0,172,124,201,149,1
360,100,120,176,2014-01-05,0.0,106,191,201,174,1
361,204,120,202,2014-05-05,0.0,105,191,201,174,1
363,100,120,176,2014-05-15,0.0,106,191,201,174,1
366,100,120,176,2014-05-22,0.0,106,191,201,174,1
370,100,120,176,2014-05-29,0.0,106,191,201,174,1
421,204,120,202,2014-10-27,0.0,105,191,201,174,1
424,204,120,202,2014-03-11,0.0,105,191,201,174,1
429,204,120,202,2014-11-17,0.0,105,191,201,174,1
433,204,120,202,2014-11-24,0.0,105,191,201,174,1
436,204,120,202,2014-01-12,0.0,105,191,201,174,1
440,204,120,202,2014-12-22,0.0,105,191,201,174,1
444,204,120,202,2015-05-01,0.0,105,191,201,174,1
448,100,120,176,2015-01-15,0.0,106,191,201,174,1
451,100,120,176,2015-01-22,0.0,106,191,201,174,1
453,204,120,202,2015-01-26,0.0,105,191,201,174,1
457,100,120,176,2015-05-02,0.0,106,191,201,174,1
460,100,120,176,2015-12-02,0.0,106,191,201,174,1
463,204,120,202,2015-02-16,0.0,105,191,201,174,1
467,235,195,151,2015-02-26,0.0,172,117,201,174,1
468,100,120,176,2015-02-26,0.0,106,191,201,174,1
471,100,120,176,2015-05-03,0.0,106,191,201,174,1
474,100,120,176,2015-12-03,0.0,106,191,201,174,1
477,100,120,176,2015-03-19,0.0,106,191,201,174,1
480,100,120,176,2015-03-26,0.0,106,191,201,174,1
483,100,120,176,2015-02-04,0.0,106,191,201,174,1
489,100,120,176,2015-04-16,0.0,106,191,201,174,1
492,100,120,176,2015-04-23,0.0,106,191,201,174,1
493,204,120,202,2015-04-27,0.0,105,191,201,174,1
494,100,120,176,2015-04-30,0.0,106,191,201,174,1
496,204,120,202,2015-04-05,0.0,105,191,201,174,1
498,100,120,176,2015-07-05,0.0,106,191,201,174,1
502,100,120,176,2015-05-14,0.0,106,191,201,174,1
504,204,120,202,2015-05-18,0.0,105,191,201,174,1
506,100,120,176,2015-05-21,0.0,106,191,201,174,1
509,100,120,176,2015-05-28,0.0,106,191,201,174,1
512,100,120,176,2015-04-06,0.0,106,191,201,174,1
515,100,120,176,2015-11-06,0.0,106,191,201,174,1
517,204,120,202,2015-06-15,0.0,105,191,201,174,1
519,100,120,176,2015-06-18,0.0,106,191,201,174,1
522,100,120,176,2015-06-25,0.0,106,191,201,174,1
525,100,120,176,2015-02-07,0.0,106,191,201,174,1
527,204,120,202,2015-06-07,0.0,105,191,201,174,1
529,100,120,176,2015-09-07,0.0,106,191,201,174,1
532,100,120,176,2015-07-16,0.0,106,191,201,174,1
534,100,120,176,2015-07-23,0.0,106,191,201,174,1
536,100,120,176,2015-07-30,0.0,106,191,201,174,1
538,204,120,202,2015-03-08,0.0,105,191,201,174,1
540,100,120,176,2015-06-08,0.0,106,191,201,174,1
544,204,120,202,2015-08-17,0.0,105,191,201,174,1
547,204,120,202,2015-08-24,0.0,105,191,201,174,1
550,204,120,202,2015-08-31,0.0,105,191,201,174,1
557,100,120,176,2015-09-17,0.0,106,191,201,174,1
560,100,120,176,2015-09-24,0.0,106,191,201,174,1
562,100,120,176,2015-01-10,0.0,106,191,201,174,1
563,120,233,152,2015-05-10,0.0,191,206,174,201,1
565,100,120,176,2015-08-10,0.0,106,191,201,174,1
568,100,120,176,2015-10-15,0.0,106,191,201,174,1
572,235,129,119,2015-02-11,0.0,172,124,201,149,1
575,100,120,176,2015-05-11,0.0,106,191,201,174,1
578,100,120,176,2015-12-11,0.0,106,191,201,174,1
582,100,120,176,2015-11-19,0.0,106,191,201,174,1
584,100,120,176,2015-11-26,0.0,106,191,201,174,1
586,100,120,176,2015-03-12,0.0,106,191,201,174,1
588,100,120,176,2015-10-12,0.0,106,191,201,174,1
590,100,120,176,2015-12-17,0.0,106,191,201,174,1
596,204,120,202,2016-04-01,0.0,105,191,201,174,1
601,235,129,119,2016-01-14,0.0,172,124,201,149,1
